USN,Status,Details,SupplementaryDataStatus
4AL22CS001,PARTIAL,"Student already exists","Not attempted"
4AL22CS002,PARTIAL,"Student already exists","Not attempted"
4AL22CS003,PARTIAL,"Student already exists","Not attempted"
4AL22CS004,PARTIAL,"Student already exists","Not attempted"
4AL22CS005,PARTIAL,"Student already exists","Not attempted"
4AL22CS006,PARTIAL,"Student already exists","Not attempted"
4AL22CS007,PARTIAL,"Student already exists","Not attempted"
4AL22CS008,PARTIAL,"Student already exists","Not attempted"
4AL22CS009,PARTIAL,"Student already exists","Not attempted"
4AL22CS010,PARTIAL,"Student already exists","Not attempted"
4AL22CS011,PARTIAL,"Student already exists","Not attempted"
4AL22CS012,PARTIAL,"Student already exists","Not attempted"
4AL22CS013,PARTIAL,"Student already exists","Not attempted"
4AL22CS014,PARTIAL,"Student already exists","Not attempted"
4AL22CS015,PARTIAL,"Student already exists","Not attempted"
4AL22CS016,PARTIAL,"Student already exists","Not attempted"
4AL22CS017,PARTIAL,"Student already exists","Not attempted"
4AL22CS018,PARTIAL,"Student already exists","Not attempted"
4AL22CS019,PARTIAL,"Student already exists","Not attempted"
4AL22CS020,PARTIAL,"Student already exists","Not attempted"
4AL22CS021,PARTIAL,"Student already exists","Not attempted"
4AL22CS022,PARTIAL,"Student already exists","Not attempted"
4AL22CS023,PARTIAL,"Student already exists","Not attempted"
4AL22CS024,PARTIAL,"Student already exists","Not attempted"
4AL22CS025,PARTIAL,"Student already exists","Not attempted"
4AL22CS026,PARTIAL,"Student already exists","Not attempted"
4AL22CS027,PARTIAL,"Student already exists","Not attempted"
4AL22CS028,PARTIAL,"Student already exists","Not attempted"
4AL22CS029,PARTIAL,"Student already exists","Not attempted"
4AL22CS030,PARTIAL,"Student already exists","Not attempted"
4AL22CS031,PARTIAL,"Student already exists","Not attempted"
4AL22CS032,PARTIAL,"Student already exists","Not attempted"
4AL22CS033,PARTIAL,"Student already exists","Not attempted"
4AL22CS034,PARTIAL,"Student already exists","Not attempted"
4AL22CS035,PARTIAL,"Student already exists","Not attempted"
4AL22CS036,PARTIAL,"Student already exists","Not attempted"
4AL22CS037,PARTIAL,"Student already exists","Not attempted"
4AL22CS038,PARTIAL,"Student already exists","Not attempted"
4AL22CS039,PARTIAL,"Student already exists","Not attempted"
4AL22CS040,PARTIAL,"Student already exists","Not attempted"
