USN,Status,User Created,Student Created,Mother Created,Father Created,Present Address,Permanent Address,Entrance Exams,SSLC Record,PUC Record,Error Message
4AL22CS001,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL22CS002,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL22CS003,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL22CS004,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL22CS005,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL22CS006,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL22CS007,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL22CS008,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL22CS009,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL22CS010,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL22CS011,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL22CS012,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL22CS013,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL22CS014,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL22CS015,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL22CS016,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL22CS017,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL22CS018,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL22CS019,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL22CS020,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL22CS021,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL22CS022,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL22CS023,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL22CS024,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL22CS025,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL22CS026,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL22CS027,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL22CS028,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL22CS029,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL22CS030,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL22CS031,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL22CS032,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL22CS033,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL22CS034,SUCCESS,true,true,true,true,true,true,true,true,true,""
