USN,Status,User Created,Student Created,Mother Created,Father Created,Present Address,Permanent Address,Entrance Exams,SSLC Record,PUC Record,Error Message
4AL23CS001,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL23CS002,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL23CS003,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL23CS004,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL23CS005,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL23CS006,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL23CS007,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL23CS008,PARTIAL,true,true,false,false,false,false,false,false,false,"Student record already exists, skipped"
4AL23CS009,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL23CS010,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL23CS011,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL23CS012,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL23CS013,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL23CS014,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL23CS015,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL23CS016,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL23CS017,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL23CS018,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL23CS019,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL23CS020,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL23CS021,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL23CS022,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL23CS023,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL23CS024,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL23CS025,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL23CS026,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL23CS027,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL23CS028,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL23CS029,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL23CS030,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL23CS031,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL23CS032,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL23CS033,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL23CS034,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL23CS035,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL23CS036,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL23CS037,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL23CS038,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL23CS039,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL23CS040,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL23CS041,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL23CS042,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL23CS043,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL23CS044,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL23CS045,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL23CS046,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL23CS047,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL23CS048,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL23CS049,SUCCESS,true,true,true,true,true,true,true,true,true,""
4AL23CS050,SUCCESS,true,true,true,true,true,true,true,true,true,""
